Дата,Месяц,Процент
8/1/2019,Август,30%
8/2/2019,Сентябрь,91%
8/3/2019,Октябрь,80%
8/4/2019,Ноябрь,33%
8/5/2019,Декабрь,58%
8/6/2019,Январь,98%
8/7/2019,Февраль,38%
8/8/2019,Март,4%
8/9/2019,Апрель,86%
8/10/2019,Май,35%
8/11/2019,Июнь,84%
8/12/2019,Июль,99%
8/13/2019,Август,32%
8/14/2019,Сентябрь,29%
8/15/2019,Октябрь,72%
8/16/2019,Ноябрь,15%
8/17/2019,Декабрь,68%
8/18/2019,Январь,3%
8/19/2019,Февраль,70%
8/20/2019,Март,20%
8/21/2019,Апрель,48%
8/22/2019,Май,78%
8/23/2019,Июнь,94%
8/24/2019,Июль,44%
8/25/2019,Август,16%
8/26/2019,Сентябрь,29%
8/27/2019,Октябрь,88%
8/28/2019,Ноябрь,99%
8/29/2019,Декабрь,58%
8/30/2019,Январь,2%
8/31/2019,Февраль,92%
9/1/2019,Март,35%
9/2/2019,Апрель,73%
9/3/2019,Май,19%
9/4/2019,Июнь,17%
9/5/2019,Июль,34%
9/6/2019,Август,9%
9/7/2019,Сентябрь,73%
9/8/2019,Октябрь,99%
9/9/2019,Ноябрь,27%
9/10/2019,Декабрь,31%
9/11/2019,Январь,4%
9/12/2019,Февраль,100%
9/13/2019,Март,65%
9/14/2019,Апрель,44%
9/15/2019,Май,93%
9/16/2019,Июнь,63%
9/17/2019,Июль,50%
9/18/2019,Август,70%
9/19/2019,Сентябрь,85%
9/20/2019,Октябрь,78%
9/21/2019,Ноябрь,72%
9/22/2019,Декабрь,74%
9/23/2019,Январь,67%
9/24/2019,Февраль,51%
9/25/2019,Март,86%
9/26/2019,Апрель,74%
9/27/2019,Май,43%
9/28/2019,Июнь,94%
9/29/2019,Июль,17%
9/30/2019,Август,36%
10/1/2019,Сентябрь,96%
10/2/2019,Октябрь,20%
10/3/2019,Ноябрь,74%
10/4/2019,Декабрь,28%
10/5/2019,Январь,76%
10/6/2019,Февраль,90%
10/7/2019,Март,86%
10/8/2019,Апрель,41%
10/9/2019,Май,48%
10/10/2019,Июнь,48%
10/11/2019,Июль,33%
10/12/2019,Август,25%
10/13/2019,Сентябрь,47%
10/14/2019,Октябрь,8%
10/15/2019,Ноябрь,18%
10/16/2019,Декабрь,50%
10/17/2019,Январь,43%
10/18/2019,Февраль,6%
10/19/2019,Март,25%
10/20/2019,Апрель,30%
10/21/2019,Май,76%
10/22/2019,Июнь,96%
10/23/2019,Июль,87%
10/24/2019,Август,48%
10/25/2019,Сентябрь,60%
10/26/2019,Октябрь,0%
10/27/2019,Ноябрь,93%
10/28/2019,Декабрь,94%
10/29/2019,Январь,11%
10/30/2019,Февраль,40%
10/31/2019,Март,37%
11/1/2019,Апрель,14%
11/2/2019,Май,38%
11/3/2019,Июнь,27%
